type,category,title,path,filename,ext,size
Template,00_TEMPLATE_MASTER,TEMPLATE LIBRARY — IT-AssistanceTI_N2 et N3 - IT-MaintenanceMaster et autre assistant (MASTER),IT-SHARED/20_TEMPLATES/00_TEMPLATE_MASTER/TEMPLATE_MASTER_Library-IT_V1.md,TEMPLATE_MASTER_Library-IT_V1.md,.md,65453
Template,01_TEMPLATE_CW,EXEMPLES_CLOSE_CW_REELS.md,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/99_ARCHIVE/EXEMPLES_CLOSE_CW_REELS.md,EXEMPLES_CLOSE_CW_REELS.md,.md,7999
Template,01_TEMPLATE_CW,TEMPLATE: CW_DISCUSSION (Note ConnectWise - Facturable),IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/99_ARCHIVE/TEMPLATE__CW_DISCUSSION.md,TEMPLATE__CW_DISCUSSION.md,.md,5295
Template,01_TEMPLATE_CW,CW_DISCUSSION_STAR — Template,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/99_ARCHIVE/TEMPLATE__CW_DISCUSSION_STAR.md,TEMPLATE__CW_DISCUSSION_STAR.md,.md,1146
Template,01_TEMPLATE_CW,TEMPLATE: CW_NOTE_INTERNE (Note technique - Base de connaissance),IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/99_ARCHIVE/TEMPLATE__CW_NOTE_INTERNE.md,TEMPLATE__CW_NOTE_INTERNE.md,.md,16887
Template,01_TEMPLATE_CW,TEMPLATE — CW_NOTE_INTERNE (par asset),IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/99_ARCHIVE/TEMPLATE__CW_NOTE_INTERNE__PER_ASSET.md,TEMPLATE__CW_NOTE_INTERNE__PER_ASSET.md,.md,1310
Template,01_TEMPLATE_CW,CW TEMPLATE LIBRARY — IT-InterventionCopilot,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/99_ARCHIVE/TEMPLATE__CW_TEMPLATE_LIBRARY__INTERVENTION_COPILOT.md,TEMPLATE__CW_TEMPLATE_LIBRARY__INTERVENTION_COPILOT.md,.md,5684
Template,01_TEMPLATE_CW,TEMPLATE: EMAIL_CLIENT (Notification client),IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/99_ARCHIVE/TEMPLATE__EMAIL_CLIENT.md,TEMPLATE__EMAIL_CLIENT.md,.md,10182
Template,01_TEMPLATE_CW,TEMPLATE BUNDLE — CW CLOSE,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/TEMPLATE_BUNDLE_CW_CLOSE.md,TEMPLATE_BUNDLE_CW_CLOSE.md,.md,42798
Template,01_TEMPLATE_CW,TEMPLATE: CW_DISCUSSION (Note ConnectWise - Facturable),IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/TEMPLATE_CW_Discussion-STAR_V1.md,TEMPLATE_CW_Discussion-STAR_V1.md,.md,5458
